date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2017-03-06,0.9,0.86,0.9,0.86,-0.13,-1,421000,3,378060
2017-03-07,0.82,0.77,0.82,0.77,-0.09,-1,531000,6,432790
2017-03-08,0.75,0.78,0.78,0.75,0.01,1,52000,4,39620
2017-03-09,0.76,0.78,0.78,0.76,0.0,0,52000,4,40330
2017-03-10,0.74,0.67,0.74,0.67,-0.11,-1,121000,4,84190
2017-03-13,0.73,0.76,0.76,0.73,0.09,1,652000,5,481520
2017-03-14,0.77,0.82,0.83,0.77,0.06,1,1402000,13,1132940
2017-03-15,0.8,0.77,0.8,0.77,-0.05,-1,581000,7,456630
2017-03-16,0.81,0.83,0.84,0.81,0.06,1,380000,4,315800
2017-03-17,0.82,0.82,0.82,0.82,-0.01,-1,360000,1,295200
2017-03-20,0.81,0.8,0.81,0.8,-0.02,-1,421000,3,340800
2017-03-21,0.8,0.8,0.8,0.8,0.0,0,400000,1,320000
2017-03-22,0.76,0.76,0.76,0.76,-0.04,-1,36000,2,27360
2017-03-23,0.78,0.78,0.79,0.78,0.02,1,368000,5,288170
2017-03-24,0.8,0.78,0.8,0.78,0.0,0,363000,4,286400
2017-03-27,0.75,0.75,0.75,0.74,-0.03,-1,275000,3,204250
2017-03-28,0.76,0.72,0.76,0.72,-0.03,-1,275000,3,200820
2017-03-30,0.79,0.84,0.87,0.79,0.13,1,665000,9,546850
2017-03-31,0.81,0.8,0.83,0.79,-0.04,-1,660000,15,535120
2017-04-05,0.77,0.77,0.77,0.77,-0.03,-1,31000,1,23870
2017-04-06,0.66,0.65,0.66,0.65,-0.12,-1,243000,4,160260
2017-04-07,0.59,0.54,0.59,0.53,-0.11,-1,247000,4,143810
2017-04-13,0.39,0.39,0.39,0.39,0.01,1,31000,1,12090
2017-04-17,0.32,0.32,0.32,0.32,-0.06,-1,30000,1,9600
2017-04-21,0.33,0.33,0.33,0.33,0.03,1,78000,1,25740
2017-04-24,0.31,0.31,0.31,0.31,-0.02,-1,98000,2,30380
2017-04-25,0.34,0.34,0.34,0.34,0.03,1,20000,1,6800
2017-04-26,0.41,0.49,0.49,0.41,0.15,1,155000,4,69950
2017-04-27,0.46,0.45,0.46,0.45,-0.04,-1,83000,2,37750
2017-05-02,0.47,0.58,0.62,0.47,0.13,1,907000,8,522390
2017-05-03,0.58,0.55,0.58,0.53,-0.03,-1,910000,18,499420
2017-05-04,0.59,0.59,0.59,0.59,0.04,1,40000,1,23600
2017-05-05,0.54,0.54,0.54,0.54,-0.05,-1,43000,1,23220
2017-05-08,0.51,0.49,0.51,0.49,-0.05,-1,6000,2,3040
2017-05-09,0.43,0.36,0.43,0.35,-0.13,-1,80000,3,31500
2017-05-10,0.39,0.5,0.5,0.39,0.14,1,165000,6,74290
2017-05-11,0.48,0.51,0.51,0.48,0.01,1,72000,2,35460
2017-05-15,0.49,0.49,0.49,0.49,0.01,1,119000,6,58310
2017-05-16,0.54,0.51,0.54,0.51,0.02,1,149000,6,78520
2017-05-18,0.47,0.47,0.47,0.47,-0.01,-1,90000,2,42300
2017-05-19,0.56,0.57,0.57,0.56,0.1,1,260000,6,146950
2017-05-22,0.53,0.55,0.55,0.53,-0.02,-1,127000,5,67810
2017-05-23,0.57,0.66,0.69,0.57,0.11,1,669000,14,440570
2017-05-24,0.68,0.66,0.69,0.66,0.0,0,876000,19,595400
2017-05-25,0.69,0.68,0.7,0.63,0.02,1,504000,17,341030
2017-05-26,0.68,0.67,0.68,0.65,-0.01,-1,607000,17,400410
